Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_CNT80    	1.3333          	23.4200         
Node J_CNT80    	1.3667          	50.8410         
Node J_CNT80    	1.4000          	30.8913         
Node J_CNT80    	1.4333          	22.0410         
Node J_CNT80    	1.4667          	48.3523         
Node J_CNT80    	1.5000          	28.9595         
Node J_CNT80    	1.5333          	21.4610         
Node J_CNT80    	1.5667          	46.2646         
Node J_CNT80    	1.6000          	27.1216         
Node J_CNT80    	1.6333          	21.7066         
Node J_CNT80    	1.6667          	44.6358         
Node J_CNT80    	1.7000          	25.3568         
Node J_CNT80    	1.7333          	22.5864         
Node J_CNT80    	1.7667          	44.0745         
Node J_CNT80    	1.8000          	24.1487         
Node J_CNT80    	1.8333          	23.9222         
Node J_CNT80    	1.8667          	45.6308         
Node J_CNT80    	1.9000          	23.4018         
Node J_CNT80    	1.9333          	25.8821         
Node J_CNT80    	1.9667          	48.4017         
Node J_CNT80    	2.0000          	22.7724         
