NodeID,X_ft,Y_ft,Elev_ft,BaseDemand_gpm,PatternID,Zone,Tag,SquaresX,SquaresY,Reject_Reason,Notes
J_SNT1_80,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V6_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V6_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V7_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V7_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_185,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_205,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
CNT40,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V8_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V8_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_205,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_235,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_235,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_245,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_245,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_290,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_290,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_305,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_305,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_355,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_355,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_370,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_370,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_420,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_420,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_440,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_440,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_475,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_475,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_510,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_510,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_545,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_545,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_580,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_580,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_715,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_715,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_765,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_765,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_815,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_815,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_890,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V9_IN,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V9_OUT,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V9_OUT,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT3_55,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT3_55,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT3_110,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT3_110,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_165,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT3_165,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_220,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_220,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_275,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V9_OUT,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT2_910,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT2_910,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V10_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V10_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT4_20,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT4_20,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT4_70,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT4_70,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT4_120,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT4_120,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT4_170,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V10_OUT,,,,0.125,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_V11_IN,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_V11_OUT,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_125,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT5_BEND,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_14,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT5_155,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_165,,,,,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT5_190,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_190,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT5_260,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_260,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
J_SNT5_310,,,,0.125,,,,,,X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric,
J_SNT5_310,,,,,,,,,,Duplicate NodeID; X_ft missing and SquaresX missing; Y_ft missing and SquaresY missing; Elev_ft not numeric; BaseDemand_gpm must be >= 0 or blank,
